id,name,href
anhydrous-crystalline-maltose,ANHYDROUS CRYSTALLINE MALTOSE,https://www.webmd.com/vitamins/ai/ingredientmono-1452/anhydrous-crystalline-maltose
anise,ANISE,https://www.webmd.com/vitamins/ai/ingredientmono-582/anise
annatto,ANNATTO,https://www.webmd.com/vitamins/ai/ingredientmono-23/annatto
antineoplastons,ANTINEOPLASTONS,https://www.webmd.com/vitamins/ai/ingredientmono-1460/antineoplastons
apoaequorin,APOAEQUORIN,https://www.webmd.com/vitamins/ai/ingredientmono-1486/apoaequorin
apple,APPLE,https://www.webmd.com/vitamins/ai/ingredientmono-298/apple
apple-cider-vinegar,APPLE CIDER VINEGAR,https://www.webmd.com/vitamins/ai/ingredientmono-816/apple-cider-vinegar
apricot,APRICOT,https://www.webmd.com/vitamins/ai/ingredientmono-952/apricot
apricot-kernel,APRICOT KERNEL,https://www.webmd.com/vitamins/ai/ingredientmono-1190/apricot-kernel
arabinoxylan,ARABINOXYLAN,https://www.webmd.com/vitamins/ai/ingredientmono-1455/arabinoxylan
arenaria-rubra,ARENARIA RUBRA,https://www.webmd.com/vitamins/ai/ingredientmono-584/arenaria-rubra
aristolochia,ARISTOLOCHIA,https://www.webmd.com/vitamins/ai/ingredientmono-583/aristolochia
arnica,ARNICA,https://www.webmd.com/vitamins/ai/ingredientmono-721/arnica
arrach,ARRACH,https://www.webmd.com/vitamins/ai/ingredientmono-31/arrach
arrowroot,ARROWROOT,https://www.webmd.com/vitamins/ai/ingredientmono-283/arrowroot
arsenic,ARSENIC,https://www.webmd.com/vitamins/ai/ingredientmono-1226/arsenic
artemisia-herba-alba,ARTEMISIA HERBA-ALBA,https://www.webmd.com/vitamins/ai/ingredientmono-1156/artemisia-herba-alba
artichoke,ARTICHOKE,https://www.webmd.com/vitamins/ai/ingredientmono-842/artichoke
arum,ARUM,https://www.webmd.com/vitamins/ai/ingredientmono-209/arum
asafoetida,ASAFOETIDA,https://www.webmd.com/vitamins/ai/ingredientmono-248/asafoetida
asarum,ASARUM,https://www.webmd.com/vitamins/ai/ingredientmono-861/asarum
ascorbigen,ASCORBIGEN,https://www.webmd.com/vitamins/ai/ingredientmono-1168/ascorbigen
ash,ASH,https://www.webmd.com/vitamins/ai/ingredientmono-285/ash
ashitaba,ASHITABA,https://www.webmd.com/vitamins/ai/ingredientmono-1134/ashitaba
